country,region_id,authority_id,auth_name_e,old_park_id,new_park_id,park_offical_id
Wales,W10000006,W06000002,Gwynedd,GWYNE_a69ff7cb66e8,c1618ec3c57a,GWYNE_0
Wales,W10000006,W06000002,Gwynedd,GWYNE_d064c4790055;GWYNE_25a205a0580c;GWYNE_046d961b4a47;GWYNE_9ee4b1552ed3,3dd6464d3977,GWYNE_1
Wales,W10000006,W06000002,Gwynedd,GWYNE_56b52d6192b4,caf394335b5a,GWYNE_2
Wales,W10000006,W06000002,Gwynedd,GWYNE_7ebfe3f30ef1;GWYNE_71cb5f28ebc2,ff5d835e0ffc,GWYNE_3
Wales,W10000006,W06000002,Gwynedd,GWYNE_727b2b6404e0,dc010cb99850,GWYNE_4
Wales,W10000006,W06000002,Gwynedd,GWYNE_56c659de0937,110fa7157396,GWYNE_5
Wales,W10000006,W06000002,Gwynedd,GWYNE_989b253aeb43,b15b089793cc,GWYNE_6
Wales,W10000006,W06000002,Gwynedd,GWYNE_91e26961a312,8d2676a5b70d,GWYNE_7
Wales,W10000006,W06000002,Gwynedd,GWYNE_40597515e954,cafd3ad54a5f,GWYNE_8
Wales,W10000006,W06000002,Gwynedd,GWYNE_ea8620a51704,c0397789cb17,GWYNE_9
Wales,W10000006,W06000002,Gwynedd,GWYNE_50e3cf1ece65;GWYNE_88c712e70598,1517a265f425,GWYNE_10
Wales,W10000006,W06000002,Gwynedd,GWYNE_e8e6b67b16f2,76e129eec353,GWYNE_11
Wales,W10000006,W06000002,Gwynedd,GWYNE_9ac2c050ab2f,13626c023899,GWYNE_12
Wales,W10000006,W06000002,Gwynedd,GWYNE_6111f365fd60,22e4c156b0a2,GWYNE_13
Wales,W10000006,W06000002,Gwynedd,GWYNE_dd383ed1b441;GWYNE_26303b1989d0,77c9a9f6f79d,GWYNE_14
Wales,W10000006,W06000002,Gwynedd,GWYNE_e49485b70c01,e0f06963021d,GWYNE_15
Wales,W10000006,W06000002,Gwynedd,GWYNE_310f9df52218;GWYNE_4686ad449b37,0d9b059176c5,GWYNE_16
Wales,W10000006,W06000002,Gwynedd,GWYNE_43c8e1168015,06d227ff17a6,GWYNE_17
Wales,W10000006,W06000002,Gwynedd,GWYNE_660cd1dbd453,f9f228d6fbcb,GWYNE_18
Wales,W10000006,W06000002,Gwynedd,GWYNE_aafcb85a557a,4db1cedc9211,GWYNE_19
Wales,W10000006,W06000002,Gwynedd,GWYNE_c3b0efaf923c,49a0af37f4e1,GWYNE_20
Wales,W10000006,W06000002,Gwynedd,GWYNE_f7d4ae4afbc7,2123f38e81bb,GWYNE_21
Wales,W10000006,W06000002,Gwynedd,GWYNE_efe13b530da3,c4033be8eab8,GWYNE_22
Wales,W10000006,W06000002,Gwynedd,GWYNE_b4b701330c8d;GWYNE_8056fd4c3cfd;GWYNE_664bfd495b11;GWYNE_3ac513a95a90;GWYNE_ec65ca93b6dd;GWYNE_06b45e95994e;GWYNE_072473d45bff;GWYNE_bdec2ddf1271;GWYNE_f2d70893a324,fac56241a33f,GWYNE_23
Wales,W10000006,W06000002,Gwynedd,GWYNE_1519b69f78ea;GWYNE_a92ada9769a5,f97fd52e3637,GWYNE_24
Wales,W10000006,W06000002,Gwynedd,GWYNE_e8235276b8f4;GWYNE_340d484bdeae,06b940bfa831,GWYNE_25
Wales,W10000006,W06000002,Gwynedd,GWYNE_338d8861488e;GWYNE_bb514d242462,306257813560,GWYNE_26
Wales,W10000006,W06000002,Gwynedd,GWYNE_e05fc022deda,7eb1f80b5eea,GWYNE_27
Wales,W10000006,W06000002,Gwynedd,GWYNE_7448471c1eee,2dcacbd93256,GWYNE_28
Wales,W10000006,W06000002,Gwynedd,GWYNE_0894ed7ef6bf,7c5e027fb89e,GWYNE_29
Wales,W10000006,W06000002,Gwynedd,GWYNE_b21a1fa7c85b,77980beb9072,GWYNE_30
Wales,W10000006,W06000002,Gwynedd,GWYNE_3319ddf136b8,a377fa64d8ae,GWYNE_31
Wales,W10000006,W06000002,Gwynedd,GWYNE_29d693221eaf,88f2e7eec505,GWYNE_32
Wales,W10000006,W06000002,Gwynedd,GWYNE_edbfda0c4937,28b0eaf47f08,GWYNE_33
Wales,W10000006,W06000002,Gwynedd,GWYNE_06fdc8c8e331,97829311effd,GWYNE_34
Wales,W10000006,W06000002,Gwynedd,GWYNE_1088f774ebe4,36fbc8e8afcc,GWYNE_35
Wales,W10000006,W06000002,Gwynedd,GWYNE_3d7731e72c4f;GWYNE_c32a8d5e3731;GWYNE_21c6d5f3c911,3eef7323c006,GWYNE_36
Wales,W10000006,W06000002,Gwynedd,GWYNE_50877148b09b,845fc66fa909,GWYNE_37
Wales,W10000006,W06000002,Gwynedd,GWYNE_b41c078b2da0;GWYNE_25bcb4c7166b,d20c75ed18a7,GWYNE_38
Wales,W10000006,W06000002,Gwynedd,GWYNE_01a9a3f14b64,a2ed0a753ae5,GWYNE_39
Wales,W10000006,W06000002,Gwynedd,GWYNE_c24c8fa63d40,c230915a0f60,GWYNE_40
Wales,W10000006,W06000002,Gwynedd,GWYNE_da5807eae2d5;GWYNE_86aca2e5396a,a98fd30d35a6,GWYNE_41
Wales,W10000006,W06000002,Gwynedd,GWYNE_77179188c68c,0fef6f84cef5,GWYNE_42
Wales,W10000006,W06000002,Gwynedd,GWYNE_13b7337d1aed,0207bea26929,GWYNE_43
Wales,W10000006,W06000002,Gwynedd,GWYNE_8b9a832211c8,91d8b11a2e8c,GWYNE_44
Wales,W10000006,W06000002,Gwynedd,GWYNE_253fd31cff20;GWYNE_621bd251ab5e,8c3f68825741,GWYNE_45
Wales,W10000006,W06000002,Gwynedd,GWYNE_de75673a870a,98d509b4ce05,GWYNE_46
Wales,W10000006,W06000002,Gwynedd,GWYNE_677982d8ecef,f356950dd6b0,GWYNE_47
Wales,W10000006,W06000002,Gwynedd,GWYNE_1cf76ac4abb9;GWYNE_a02011498686,72f3d4307bb1,GWYNE_48
Wales,W10000006,W06000002,Gwynedd,GWYNE_4d16a7137694;GWYNE_92e3415c8007,e1db8bdfde88,GWYNE_49
Wales,W10000006,W06000002,Gwynedd,GWYNE_5be38f99856e,e388b8c6b550,GWYNE_50
Wales,W10000006,W06000002,Gwynedd,GWYNE_9eb5bdbd15b0,ca602d099a4a,GWYNE_51
Wales,W10000006,W06000002,Gwynedd,GWYNE_5ecfb603d3fc;GWYNE_21fcb770f2be,2cdf80af565e,GWYNE_52
Wales,W10000006,W06000002,Gwynedd,GWYNE_c1abbec0b837,31cfa0382d48,GWYNE_53
Wales,W10000006,W06000002,Gwynedd,GWYNE_ca4f8457fd43,e58fbc10d3c0,GWYNE_54
Wales,W10000006,W06000002,Gwynedd,GWYNE_74fb4448067f,89710810ce17,GWYNE_55
Wales,W10000006,W06000002,Gwynedd,GWYNE_3e16f0d4a819,adf11561d6d5,GWYNE_56
Wales,W10000006,W06000002,Gwynedd,GWYNE_62084cf43fd2,4178de7b4537,GWYNE_57
Wales,W10000006,W06000002,Gwynedd,GWYNE_18c440fcc40b;GWYNE_10324050edd3,c4555d669dcf,GWYNE_58
Wales,W10000006,W06000002,Gwynedd,GWYNE_762a7942048c,09e04db35a35,GWYNE_59
Wales,W10000006,W06000002,Gwynedd,GWYNE_9e0b44a734c1,b59e22b79cd9,GWYNE_60
Wales,W10000006,W06000002,Gwynedd,GWYNE_070e818e315a,65cc9b9731f5,GWYNE_61
Wales,W10000006,W06000002,Gwynedd,GWYNE_2236f5d0cd6d,7d55bc550499,GWYNE_62
Wales,W10000006,W06000002,Gwynedd,GWYNE_b88d7640365d,d31b2386070e,GWYNE_63
Wales,W10000006,W06000002,Gwynedd,GWYNE_0a5136edc35b,33d18b4a53fb,GWYNE_64
Wales,W10000006,W06000002,Gwynedd,GWYNE_9e8b5f591d32,b5636ecc6b37,GWYNE_65
Wales,W10000006,W06000002,Gwynedd,GWYNE_03a9239db896,fb7402b9db47,GWYNE_66
Wales,W10000006,W06000002,Gwynedd,GWYNE_b1b4be0c5c58,0cf5b0c662a3,GWYNE_67
Wales,W10000006,W06000002,Gwynedd,GWYNE_c70f9d5739d6,8ed3e763913a,GWYNE_68
Wales,W10000006,W06000002,Gwynedd,GWYNE_e7ac2f322cc9,5619a6698740,GWYNE_69
Wales,W10000006,W06000002,Gwynedd,GWYNE_18ba115575e1,0c31fdabc379,GWYNE_70
Wales,W10000006,W06000002,Gwynedd,GWYNE_797a761ab1c4,4bea299fc21b,GWYNE_71
Wales,W10000006,W06000002,Gwynedd,GWYNE_7120a3d37977,61efcec95605,GWYNE_72
Wales,W10000006,W06000002,Gwynedd,GWYNE_34ceb896a145,703a6733f3cc,GWYNE_73
Wales,W10000006,W06000002,Gwynedd,GWYNE_97b21ade004c,a157a14818f5,GWYNE_74
Wales,W10000006,W06000002,Gwynedd,GWYNE_489be2164f09,2491b595d3fd,GWYNE_75
